"filename", "language", "PHP", "Markdown", "JSON", "JavaScript", "CSS", "comment", "blank", "total"
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\README.md", "Markdown", 0, 214, 0, 0, 0, 0, 69, 283
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\assets\css\admin\account.css", "CSS", 0, 0, 0, 0, 1, 0, 1, 2
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\assets\css\admin\add-ons.css", "CSS", 0, 0, 0, 0, 2, 0, 1, 3
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\assets\css\admin\affiliation.css", "CSS", 0, 0, 0, 0, 1, 0, 1, 2
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\assets\css\admin\checkout.css", "CSS", 0, 0, 0, 0, 1, 0, 1, 2
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\assets\css\admin\common.css", "CSS", 0, 0, 0, 0, 2, 0, 1, 3
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\assets\css\admin\connect.css", "CSS", 0, 0, 0, 0, 1, 0, 1, 2
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\assets\css\admin\debug.css", "CSS", 0, 0, 0, 0, 1, 0, 1, 2
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\assets\css\admin\dialog-boxes.css", "CSS", 0, 0, 0, 0, 2, 0, 1, 3
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\assets\css\admin\gdpr-optin-notice.css", "CSS", 0, 0, 0, 0, 1, 0, 1, 2
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\assets\css\admin\index.php", "PHP", 1, 0, 0, 0, 0, 2, 0, 3
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\assets\css\admin\plugins.css", "CSS", 0, 0, 0, 0, 1, 0, 1, 2
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\assets\css\customizer.css", "CSS", 0, 0, 0, 0, 1, 0, 1, 2
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\assets\css\index.php", "PHP", 1, 0, 0, 0, 0, 2, 0, 3
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\assets\img\index.php", "PHP", 1, 0, 0, 0, 0, 2, 0, 3
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\assets\index.php", "PHP", 1, 0, 0, 0, 0, 2, 0, 3
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\assets\js\index.php", "PHP", 1, 0, 0, 0, 0, 2, 0, 3
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\assets\js\nojquery.ba-postmessage.js", "JavaScript", 0, 0, 0, 80, 0, 40, 20, 140
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\assets\js\nojquery.ba-postmessage.min.js", "JavaScript", 0, 0, 0, 1, 0, 11, 0, 12
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\assets\js\postmessage.js", "JavaScript", 0, 0, 0, 113, 0, 8, 14, 135
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\config.php", "PHP", 257, 0, 0, 0, 0, 77, 58, 392
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\includes\class-freemius-abstract.php", "PHP", 118, 0, 0, 0, 0, 414, 65, 597
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\includes\class-freemius.php", "PHP", 13543, 0, 0, 0, 0, 8022, 3762, 25327
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\includes\class-fs-admin-notices.php", "PHP", 148, 0, 0, 0, 0, 145, 28, 321
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\includes\class-fs-api.php", "PHP", 285, 0, 0, 0, 0, 286, 93, 664
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\includes\class-fs-logger.php", "PHP", 444, 0, 0, 0, 0, 144, 103, 691
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\includes\class-fs-options.php", "PHP", 197, 0, 0, 0, 0, 177, 57, 431
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\includes\class-fs-plugin-updater.php", "PHP", 867, 0, 0, 0, 0, 461, 234, 1562
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\includes\class-fs-security.php", "PHP", 42, 0, 0, 0, 0, 34, 10, 86
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\includes\class-fs-storage.php", "PHP", 250, 0, 0, 0, 0, 219, 63, 532
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\includes\class-fs-user-lock.php", "PHP", 46, 0, 0, 0, 0, 62, 18, 126
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\includes\customizer\class-fs-customizer-support-section.php", "PHP", 56, 0, 0, 0, 0, 32, 14, 102
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\includes\customizer\class-fs-customizer-upsell-control.php", "PHP", 106, 0, 0, 0, 0, 33, 22, 161
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\includes\customizer\index.php", "PHP", 1, 0, 0, 0, 0, 2, 0, 3
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\includes\debug\class-fs-debug-bar-panel.php", "PHP", 42, 0, 0, 0, 0, 14, 9, 65
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\includes\debug\debug-bar-start.php", "PHP", 32, 0, 0, 0, 0, 13, 7, 52
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\includes\debug\index.php", "PHP", 1, 0, 0, 0, 0, 2, 0, 3
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\includes\entities\class-fs-affiliate-terms.php", "PHP", 38, 0, 0, 0, 0, 81, 9, 128
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\includes\entities\class-fs-affiliate.php", "PHP", 28, 0, 0, 0, 0, 46, 10, 84
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\includes\entities\class-fs-billing.php", "PHP", 30, 0, 0, 0, 0, 57, 8, 95
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\includes\entities\class-fs-entity.php", "PHP", 68, 0, 0, 0, 0, 71, 20, 159
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\includes\entities\class-fs-payment.php", "PHP", 58, 0, 0, 0, 0, 96, 14, 168
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\includes\entities\class-fs-plugin-info.php", "PHP", 21, 0, 0, 0, 0, 9, 4, 34
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\includes\entities\class-fs-plugin-license.php", "PHP", 96, 0, 0, 0, 0, 207, 28, 331
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\includes\entities\class-fs-plugin-plan.php", "PHP", 48, 0, 0, 0, 0, 86, 11, 145
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\includes\entities\class-fs-plugin-tag.php", "PHP", 22, 0, 0, 0, 0, 33, 5, 60
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\includes\entities\class-fs-plugin.php", "PHP", 49, 0, 0, 0, 0, 96, 14, 159
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\includes\entities\class-fs-pricing.php", "PHP", 54, 0, 0, 0, 0, 86, 17, 157
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\includes\entities\class-fs-scope-entity.php", "PHP", 11, 0, 0, 0, 0, 15, 3, 29
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\includes\entities\class-fs-site.php", "PHP", 90, 0, 0, 0, 0, 129, 17, 236
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\includes\entities\class-fs-subscription.php", "PHP", 48, 0, 0, 0, 0, 87, 12, 147
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\includes\entities\class-fs-user.php", "PHP", 30, 0, 0, 0, 0, 39, 10, 79
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\includes\entities\index.php", "PHP", 1, 0, 0, 0, 0, 2, 0, 3
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\includes\fs-core-functions.php", "PHP", 666, 0, 0, 0, 0, 596, 154, 1416
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\includes\fs-essential-functions.php", "PHP", 255, 0, 0, 0, 0, 168, 77, 500
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\includes\fs-plugin-info-dialog.php", "PHP", 1173, 0, 0, 0, 0, 283, 189, 1645
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\includes\i18n.php", "PHP", 542, 0, 0, 0, 0, 47, 17, 606
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\includes\index.php", "PHP", 1, 0, 0, 0, 0, 2, 0, 3
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\includes\l10n.php", "PHP", 12, 0, 0, 0, 0, 33, 4, 49
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\includes\managers\class-fs-admin-menu-manager.php", "PHP", 426, 0, 0, 0, 0, 460, 120, 1006
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\includes\managers\class-fs-admin-notice-manager.php", "PHP", 226, 0, 0, 0, 0, 196, 50, 472
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\includes\managers\class-fs-cache-manager.php", "PHP", 134, 0, 0, 0, 0, 144, 48, 326
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\includes\managers\class-fs-gdpr-manager.php", "PHP", 80, 0, 0, 0, 0, 101, 21, 202
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\includes\managers\class-fs-key-value-storage.php", "PHP", 167, 0, 0, 0, 0, 171, 54, 392
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\includes\managers\class-fs-license-manager.php", "PHP", 17, 0, 0, 0, 0, 83, 4, 104
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\includes\managers\class-fs-option-manager.php", "PHP", 239, 0, 0, 0, 0, 205, 78, 522
