"filename", "language", "CSS", "PHP", "JavaScript", "JSON", "Markdown", "Ini", "comment", "blank", "total"
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\.VSCodeCounter\2021-01-09_16-57-52\details.md", "Markdown", 0, 0, 0, 0, 154, 0, 0, 6, 160
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\.VSCodeCounter\2021-01-09_16-57-52\results.md", "Markdown", 0, 0, 0, 0, 41, 0, 0, 7, 48
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\.VSCodeCounter\2021-01-09_16-58-35\details.md", "Markdown", 0, 0, 0, 0, 202, 0, 0, 6, 208
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\.VSCodeCounter\2021-01-09_16-58-35\results.md", "Markdown", 0, 0, 0, 0, 59, 0, 0, 7, 66
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\admin\class-wpgsi-admin.php", "PHP", 0, 2290, 0, 0, 0, 0, 284, 257, 2831
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\admin\class-wpgsi-events.php", "PHP", 0, 2455, 0, 0, 0, 0, 213, 178, 2846
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\admin\class-wpgsi-settings.php", "PHP", 0, 174, 0, 0, 0, 0, 84, 22, 280
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\admin\css\wpgsi-admin.css", "CSS", 0, 0, 0, 0, 0, 0, 4, 2, 6
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\admin\index.php", "PHP", 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\admin\js\vue.js", "JavaScript", 0, 0, 9336, 0, 0, 0, 1481, 1149, 11966
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\admin\js\vue.min.js", "JavaScript", 0, 0, 1, 0, 0, 0, 5, 0, 6
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\admin\js\wpgsi-admin.js", "JavaScript", 0, 0, 210, 0, 0, 0, 15, 16, 241
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\admin\partials\edit-integration.php", "PHP", 0, 110, 0, 0, 0, 0, 0, 5, 115
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\admin\partials\google.php", "PHP", 0, 92, 0, 0, 0, 0, 0, 16, 108
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\admin\partials\new-integration.php", "PHP", 0, 113, 0, 0, 0, 0, 0, 3, 116
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\admin\partials\service-account-help.php", "PHP", 0, 227, 0, 0, 0, 0, 10, 27, 264
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\admin\partials\settings.php", "PHP", 0, 82, 0, 0, 0, 0, 0, 13, 95
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\admin\partials\wpgsi-admin-display.php", "PHP", 0, 3, 0, 0, 0, 0, 11, 3, 17
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\admin\partials\wpgsi-edit-integration-display.php", "PHP", 0, 111, 0, 0, 0, 0, 0, 5, 116
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\admin\partials\wpgsi-new-integration-display.php", "PHP", 0, 114, 0, 0, 0, 0, 0, 4, 118
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\admin\partials\wpgsi-service-ac-help-display.php", "PHP", 0, 227, 0, 0, 0, 0, 8, 26, 261
