Date : 2021-06-24 12:07:58
Directory : c:\xampp\htdocs\office\wp-content\plugins\wpgsi
Total : 200 files,  49207 codes, 18851 comments, 9478 blanks, all 77536 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| PHP        |        168 |     38,418 |     17,256 |      8,129 |     63,803 |
| JavaScript |          7 |      9,744 |      1,587 |      1,202 |     12,533 |
| Markdown   |          6 |        838 |          0 |        128 |        966 |
| JSON       |          5 |        187 |          0 |          5 |        192 |
| CSS        |         13 |         14 |          8 |         13 |         35 |
| Ini        |          1 |          6 |          0 |          1 |          7 |
+------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                          | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                             |        200 |     49,207 |     18,851 |      9,478 |     77,536 |
| .VSCodeCounter                                                                                                                |          4 |        456 |          0 |         26 |        482 |
| .VSCodeCounter\2021-01-09_16-57-52                                                                                            |          2 |        195 |          0 |         13 |        208 |
| .VSCodeCounter\2021-01-09_16-58-35                                                                                            |          2 |        261 |          0 |         13 |        274 |
| admin                                                                                                                         |         18 |     15,652 |      2,115 |      1,730 |     19,497 |
| admin\css                                                                                                                     |          1 |          0 |          4 |          2 |          6 |
| admin\js                                                                                                                      |          3 |      9,547 |      1,501 |      1,165 |     12,213 |
| admin\partials                                                                                                                |         10 |      1,185 |         29 |        106 |      1,320 |
| includes                                                                                                                      |        170 |     32,997 |     16,570 |      7,683 |     57,250 |
| includes\freemius                                                                                                             |        145 |     31,058 |     15,792 |      7,342 |     54,192 |
| includes\freemius\assets                                                                                                      |         19 |        213 |         69 |         45 |        327 |
| includes\freemius\assets\css                                                                                                  |         13 |         16 |          4 |         11 |         31 |
| includes\freemius\assets\css\admin                                                                                            |         11 |         14 |          2 |         10 |         26 |
| includes\freemius\assets\img                                                                                                  |          1 |          1 |          2 |          0 |          3 |
| includes\freemius\assets\js                                                                                                   |          4 |        195 |         61 |         34 |        290 |
| includes\freemius\includes                                                                                                    |         60 |     21,617 |     14,204 |      5,682 |     41,503 |
| includes\freemius\includes\customizer                                                                                         |          3 |        163 |         67 |         36 |        266 |
| includes\freemius\includes\debug                                                                                              |          3 |         75 |         29 |         16 |        120 |
| includes\freemius\includes\entities                                                                                           |         16 |        692 |      1,140 |        182 |      2,014 |
| includes\freemius\includes\managers                                                                                           |         10 |      1,453 |      1,532 |        424 |      3,409 |
| includes\freemius\includes\sdk                                                                                                |          9 |        603 |        305 |        138 |      1,046 |
| includes\freemius\includes\sdk\Exceptions                                                                                     |          6 |         79 |         21 |         15 |        115 |
| includes\freemius\includes\supplements                                                                                        |          3 |         42 |         38 |         12 |         92 |
| includes\freemius\languages                                                                                                   |          1 |          1 |          2 |          0 |          3 |
| includes\freemius\templates                                                                                                   |         59 |      8,442 |      1,217 |      1,415 |     11,074 |
| includes\freemius\templates\account                                                                                           |          8 |      1,185 |         87 |        104 |      1,376 |
| includes\freemius\templates\account\partials                                                                                  |          5 |        752 |         63 |         76 |        891 |
| includes\freemius\templates\debug                                                                                             |          5 |        350 |         51 |         37 |        438 |
| includes\freemius\templates\forms                                                                                             |         15 |      2,780 |        374 |        627 |      3,781 |
| includes\freemius\templates\forms\deactivation                                                                                |          4 |        419 |         71 |        105 |        595 |
| includes\freemius\templates\js                                                                                                |          4 |         89 |         40 |         22 |        151 |
| includes\freemius\templates\partials                                                                                          |          2 |         82 |          5 |          5 |         92 |
| includes\freemius\templates\plugin-info                                                                                       |          4 |        170 |         44 |         16 |        230 |
| includes\vendor                                                                                                               |         15 |        977 |        401 |        188 |      1,566 |
